add_id,pais,estado,cidade,rua,numero,complemento
,Brasil,Minas Gerais,Belo Horizonte,R. Hermilo Alves,437,
,Brasil,São Paulo,Santos,Av. Conselheiro Nébias,630,
,Brasil,Goiás,Goiânia,R. 3,,
,Brasil,Distrito Federal,Brasília,Via S2,,Ali no pátio central da Birosca
,Brasil,São Paulo,São Paulo,Av. Liberdade,602,
,Brasil,SP,São Paulo,R. 24 de Maio,109,
,Brasil,RS,Porto Alegre,R. Laurindo,332,
,Brasil,São Paulo,Santos,Av. Conselheiro Nébias,630,
,Brasil,MG,,,,
,Brasil,SP,Santo Antonio do Pinhal,,,
,Brasil,MG,Belo Horizonte ,,,
,Brasil,SP,São Paulo ,R. Evangelina,1390,
,Brasil,SP,São Paulo ,Ribeiro da Silva,700,
,Brasil,SP,Ribeirão Pires,R. Maj. Cardim,3100,
,Brasil,PR,Londrina,Av. Duque de Caxias,3241,
,Brasil,SP,São Paulo ,Rua Augusta,1371,Loja 116
,Brasil,SP,Santos,Av. Senador Pinheiro Machado,48,
,Brasil,RS,Porto Alegre,R. Laurindo,332,
,Brasil,SP,São Paulo,R. da Consolação,94,
,Brasil,PR,Curitiba,R. Riachuelo,266,
,Brasil,SP,São Paulo,Av. Manuel Bandeira,360,
,Brasil,DF,Brasília,Via S3,,"SCS, Quadra 01, Bloco E, Sala 713 "
,Brasil,PR,Curitiba,,,
,Brasil,PE,olinda,Largo do Varadouro,,
,Brasil,SP,São Roque,Rua Marechal Deodoro da Fonseca,132,
,Brasil,SP,São Paulo,Av. Junta Mizumoto,13,
,Brasil,MG,Belo Horizonte,Rua Bernardo Guimarães,1600,
,Brasil,RS,Porto Alegre,,,
,Brasil,SP,São Paulo,Rodovia dos Imigrantes,,
,Brasil,SP,São Paulo,Rua Vergueiro,1000,